"iteration","lm_4layers_tense_232-232 - _step","lm_4layers_tense_232-232 - _step__MIN","lm_4layers_tense_232-232 - _step__MAX","lm_4layers_tense_232-232 - val_aux","lm_4layers_tense_232-232 - val_aux__MIN","lm_4layers_tense_232-232 - val_aux__MAX","lm_4layers_tense_232-232 - test_aux","lm_4layers_tense_232-232 - test_aux__MIN","lm_4layers_tense_232-232 - test_aux__MAX","lm_4layers_tense_222-222 - _step","lm_4layers_tense_222-222 - _step__MIN","lm_4layers_tense_222-222 - _step__MAX","lm_4layers_tense_222-222 - val_aux","lm_4layers_tense_222-222 - val_aux__MIN","lm_4layers_tense_222-222 - val_aux__MAX","lm_4layers_tense_222-222 - test_aux","lm_4layers_tense_222-222 - test_aux__MIN","lm_4layers_tense_222-222 - test_aux__MAX","lm_4layers_tense_212-212 - _step","lm_4layers_tense_212-212 - _step__MIN","lm_4layers_tense_212-212 - _step__MAX","lm_4layers_tense_212-212 - val_aux","lm_4layers_tense_212-212 - val_aux__MIN","lm_4layers_tense_212-212 - val_aux__MAX","lm_4layers_tense_212-212 - test_aux","lm_4layers_tense_212-212 - test_aux__MIN","lm_4layers_tense_212-212 - test_aux__MAX","lm_4layers_tense_202-202 - _step","lm_4layers_tense_202-202 - _step__MIN","lm_4layers_tense_202-202 - _step__MAX","lm_4layers_tense_202-202 - val_aux","lm_4layers_tense_202-202 - val_aux__MIN","lm_4layers_tense_202-202 - val_aux__MAX","lm_4layers_tense_202-202 - test_aux","lm_4layers_tense_202-202 - test_aux__MIN","lm_4layers_tense_202-202 - test_aux__MAX","lm_4layers_tense_192-192 - _step","lm_4layers_tense_192-192 - _step__MIN","lm_4layers_tense_192-192 - _step__MAX","lm_4layers_tense_192-192 - val_aux","lm_4layers_tense_192-192 - val_aux__MIN","lm_4layers_tense_192-192 - val_aux__MAX","lm_4layers_tense_192-192 - test_aux","lm_4layers_tense_192-192 - test_aux__MIN","lm_4layers_tense_192-192 - test_aux__MAX","lm_4layers_tense_182-182 - _step","lm_4layers_tense_182-182 - _step__MIN","lm_4layers_tense_182-182 - _step__MAX","lm_4layers_tense_182-182 - val_aux","lm_4layers_tense_182-182 - val_aux__MIN","lm_4layers_tense_182-182 - val_aux__MAX","lm_4layers_tense_182-182 - test_aux","lm_4layers_tense_182-182 - test_aux__MIN","lm_4layers_tense_182-182 - test_aux__MAX","lm_4layers_tense_152-152 - _step","lm_4layers_tense_152-152 - _step__MIN","lm_4layers_tense_152-152 - _step__MAX","lm_4layers_tense_152-152 - val_aux","lm_4layers_tense_152-152 - val_aux__MIN","lm_4layers_tense_152-152 - val_aux__MAX","lm_4layers_tense_152-152 - test_aux","lm_4layers_tense_152-152 - test_aux__MIN","lm_4layers_tense_152-152 - test_aux__MAX","lm_4layers_tense_142-142 - _step","lm_4layers_tense_142-142 - _step__MIN","lm_4layers_tense_142-142 - _step__MAX","lm_4layers_tense_142-142 - val_aux","lm_4layers_tense_142-142 - val_aux__MIN","lm_4layers_tense_142-142 - val_aux__MAX","lm_4layers_tense_142-142 - test_aux","lm_4layers_tense_142-142 - test_aux__MIN","lm_4layers_tense_142-142 - test_aux__MAX","lm_4layers_tense_172-172 - _step","lm_4layers_tense_172-172 - _step__MIN","lm_4layers_tense_172-172 - _step__MAX","lm_4layers_tense_172-172 - val_aux","lm_4layers_tense_172-172 - val_aux__MIN","lm_4layers_tense_172-172 - val_aux__MAX","lm_4layers_tense_172-172 - test_aux","lm_4layers_tense_172-172 - test_aux__MIN","lm_4layers_tense_172-172 - test_aux__MAX","lm_4layers_tense_132-132 - _step","lm_4layers_tense_132-132 - _step__MIN","lm_4layers_tense_132-132 - _step__MAX","lm_4layers_tense_132-132 - val_aux","lm_4layers_tense_132-132 - val_aux__MIN","lm_4layers_tense_132-132 - val_aux__MAX","lm_4layers_tense_132-132 - test_aux","lm_4layers_tense_132-132 - test_aux__MIN","lm_4layers_tense_132-132 - test_aux__MAX","lm_4layers_tense_162-162 - _step","lm_4layers_tense_162-162 - _step__MIN","lm_4layers_tense_162-162 - _step__MAX","lm_4layers_tense_162-162 - val_aux","lm_4layers_tense_162-162 - val_aux__MIN","lm_4layers_tense_162-162 - val_aux__MAX","lm_4layers_tense_162-162 - test_aux","lm_4layers_tense_162-162 - test_aux__MIN","lm_4layers_tense_162-162 - test_aux__MAX","lm_4layers_tense_112-112 - _step","lm_4layers_tense_112-112 - _step__MIN","lm_4layers_tense_112-112 - _step__MAX","lm_4layers_tense_112-112 - val_aux","lm_4layers_tense_112-112 - val_aux__MIN","lm_4layers_tense_112-112 - val_aux__MAX","lm_4layers_tense_112-112 - test_aux","lm_4layers_tense_112-112 - test_aux__MIN","lm_4layers_tense_112-112 - test_aux__MAX","lm_4layers_tense_102-102 - _step","lm_4layers_tense_102-102 - _step__MIN","lm_4layers_tense_102-102 - _step__MAX","lm_4layers_tense_102-102 - val_aux","lm_4layers_tense_102-102 - val_aux__MIN","lm_4layers_tense_102-102 - val_aux__MAX","lm_4layers_tense_102-102 - test_aux","lm_4layers_tense_102-102 - test_aux__MIN","lm_4layers_tense_102-102 - test_aux__MAX","lm_4layers_tense_122-122 - _step","lm_4layers_tense_122-122 - _step__MIN","lm_4layers_tense_122-122 - _step__MAX","lm_4layers_tense_122-122 - val_aux","lm_4layers_tense_122-122 - val_aux__MIN","lm_4layers_tense_122-122 - val_aux__MAX","lm_4layers_tense_122-122 - test_aux","lm_4layers_tense_122-122 - test_aux__MIN","lm_4layers_tense_122-122 - test_aux__MAX","lm_4layers_tense_42-42 - _step","lm_4layers_tense_42-42 - _step__MIN","lm_4layers_tense_42-42 - _step__MAX","lm_4layers_tense_42-42 - val_aux","lm_4layers_tense_42-42 - val_aux__MIN","lm_4layers_tense_42-42 - val_aux__MAX","lm_4layers_tense_42-42 - test_aux","lm_4layers_tense_42-42 - test_aux__MIN","lm_4layers_tense_42-42 - test_aux__MAX","lm_4layers_tense_62-62 - _step","lm_4layers_tense_62-62 - _step__MIN","lm_4layers_tense_62-62 - _step__MAX","lm_4layers_tense_62-62 - val_aux","lm_4layers_tense_62-62 - val_aux__MIN","lm_4layers_tense_62-62 - val_aux__MAX","lm_4layers_tense_62-62 - test_aux","lm_4layers_tense_62-62 - test_aux__MIN","lm_4layers_tense_62-62 - test_aux__MAX","lm_4layers_tense_82-82 - _step","lm_4layers_tense_82-82 - _step__MIN","lm_4layers_tense_82-82 - _step__MAX","lm_4layers_tense_82-82 - val_aux","lm_4layers_tense_82-82 - val_aux__MIN","lm_4layers_tense_82-82 - val_aux__MAX","lm_4layers_tense_82-82 - test_aux","lm_4layers_tense_82-82 - test_aux__MIN","lm_4layers_tense_82-82 - test_aux__MAX","lm_4layers_tense_52-52 - _step","lm_4layers_tense_52-52 - _step__MIN","lm_4layers_tense_52-52 - _step__MAX","lm_4layers_tense_52-52 - val_aux","lm_4layers_tense_52-52 - val_aux__MIN","lm_4layers_tense_52-52 - val_aux__MAX","lm_4layers_tense_52-52 - test_aux","lm_4layers_tense_52-52 - test_aux__MIN","lm_4layers_tense_52-52 - test_aux__MAX","lm_4layers_tense_72-72 - _step","lm_4layers_tense_72-72 - _step__MIN","lm_4layers_tense_72-72 - _step__MAX","lm_4layers_tense_72-72 - val_aux","lm_4layers_tense_72-72 - val_aux__MIN","lm_4layers_tense_72-72 - val_aux__MAX","lm_4layers_tense_72-72 - test_aux","lm_4layers_tense_72-72 - test_aux__MIN","lm_4layers_tense_72-72 - test_aux__MAX","lm_4layers_tense_92-92 - _step","lm_4layers_tense_92-92 - _step__MIN","lm_4layers_tense_92-92 - _step__MAX","lm_4layers_tense_92-92 - val_aux","lm_4layers_tense_92-92 - val_aux__MIN","lm_4layers_tense_92-92 - val_aux__MAX","lm_4layers_tense_92-92 - test_aux","lm_4layers_tense_92-92 - test_aux__MIN","lm_4layers_tense_92-92 - test_aux__MAX"
"75000","75049","75049","75049","0.998","0.998","0.998","0.3245","0.3245","0.3245","75049","75049","75049","1","1","1","0.3715","0.3715","0.3715","75049","75049","75049","0.998","0.998","0.998","0.9245","0.9245","0.9245","75049","75049","75049","1","1","1","0.8865","0.8865","0.8865","75049","75049","75049","0.987","0.987","0.987","0.7265","0.7265","0.7265","75049","75049","75049","0.996","0.996","0.996","0.806","0.806","0.806","75049","75049","75049","0.999","0.999","0.999","0.667","0.667","0.667","75049","75049","75049","0.997","0.997","0.997","0.7055","0.7055","0.7055","75049","75049","75049","1","1","1","0.8905","0.8905","0.8905","75049","75049","75049","0.997","0.997","0.997","0.812","0.812","0.812","75049","75049","75049","0.997","0.997","0.997","0.7965","0.7965","0.7965","75049","75049","75049","0.997","0.997","0.997","0.621","0.621","0.621","75049","75049","75049","0.999","0.999","0.999","0.768","0.768","0.768","75049","75049","75049","0.992","0.992","0.992","0.427","0.427","0.427","75049","75049","75049","0.999","0.999","0.999","0.9755","0.9755","0.9755","75049","75049","75049","0.999","0.999","0.999","0.2105","0.2105","0.2105","75049","75049","75049","0.992","0.992","0.992","0.5115","0.5115","0.5115","75049","75049","75049","0.995","0.995","0.995","0.716","0.716","0.716","75049","75049","75049","0.998","0.998","0.998","0.9865","0.9865","0.9865","75049","75049","75049","1","1","1","0.447","0.447","0.447"
"78000","78051","78051","78051","1","1","1","0.17","0.17","0.17","78051","78051","78051","0.997","0.997","0.997","0.5245","0.5245","0.5245","78051","78051","78051","1","1","1","0.9915","0.9915","0.9915","78051","78051","78051","0.999","0.999","0.999","0.751","0.751","0.751","78051","78051","78051","1","1","1","0.725","0.725","0.725","78051","78051","78051","0.995","0.995","0.995","0.9695","0.9695","0.9695","78051","78051","78051","0.998","0.998","0.998","0.806","0.806","0.806","78051","78051","78051","1","1","1","0.914","0.914","0.914","78051","78051","78051","1","1","1","0.887","0.887","0.887","78051","78051","78051","0.997","0.997","0.997","0.859","0.859","0.859","78051","78051","78051","0.995","0.995","0.995","0.8795","0.8795","0.8795","78051","78051","78051","0.975","0.975","0.975","0.7885","0.7885","0.7885","78051","78051","78051","1","1","1","0.2445","0.2445","0.2445","78051","78051","78051","0.998","0.998","0.998","0.562","0.562","0.562","78051","78051","78051","0.997","0.997","0.997","0.991","0.991","0.991","78051","78051","78051","0.999","0.999","0.999","0.34","0.34","0.34","78051","78051","78051","1","1","1","0.761","0.761","0.761","78051","78051","78051","1","1","1","0.8615","0.8615","0.8615","78051","78051","78051","1","1","1","0.975","0.975","0.975","78051","78051","78051","0.998","0.998","0.998","0.5865","0.5865","0.5865"
"81000","81053","81053","81053","1","1","1","0.1735","0.1735","0.1735","81053","81053","81053","0.999","0.999","0.999","0.6855","0.6855","0.6855","81053","81053","81053","0.997","0.997","0.997","0.966","0.966","0.966","81053","81053","81053","1","1","1","0.9435","0.9435","0.9435","81053","81053","81053","0.995","0.995","0.995","0.791","0.791","0.791","81053","81053","81053","1","1","1","0.9625","0.9625","0.9625","81053","81053","81053","0.998","0.998","0.998","0.642","0.642","0.642","81053","81053","81053","0.998","0.998","0.998","0.761","0.761","0.761","81053","81053","81053","0.997","0.997","0.997","0.807","0.807","0.807","81053","81053","81053","0.997","0.997","0.997","0.8585","0.8585","0.8585","81053","81053","81053","0.994","0.994","0.994","0.7825","0.7825","0.7825","81053","81053","81053","0.999","0.999","0.999","0.7575","0.7575","0.7575","81053","81053","81053","1","1","1","0.868","0.868","0.868","81053","81053","81053","0.998","0.998","0.998","0.43","0.43","0.43","81053","81053","81053","1","1","1","0.8835","0.8835","0.8835","81053","81053","81053","0.996","0.996","0.996","0.1725","0.1725","0.1725","81053","81053","81053","0.998","0.998","0.998","0.6645","0.6645","0.6645","81053","81053","81053","0.999","0.999","0.999","0.936","0.936","0.936","81053","81053","81053","0.997","0.997","0.997","0.912","0.912","0.912","81053","81053","81053","0.998","0.998","0.998","0.7565","0.7565","0.7565"
"84000","84055","84055","84055","0.998","0.998","0.998","0.1695","0.1695","0.1695","84055","84055","84055","0.997","0.997","0.997","0.8785","0.8785","0.8785","84055","84055","84055","0.999","0.999","0.999","0.997","0.997","0.997","84055","84055","84055","0.999","0.999","0.999","0.8925","0.8925","0.8925","84055","84055","84055","0.999","0.999","0.999","0.815","0.815","0.815","84055","84055","84055","0.999","0.999","0.999","0.9255","0.9255","0.9255","84055","84055","84055","0.996","0.996","0.996","0.5825","0.5825","0.5825","84055","84055","84055","1","1","1","0.673","0.673","0.673","84055","84055","84055","1","1","1","0.6735","0.6735","0.6735","84055","84055","84055","1","1","1","0.9265","0.9265","0.9265","84055","84055","84055","0.998","0.998","0.998","0.883","0.883","0.883","84055","84055","84055","1","1","1","0.749","0.749","0.749","84055","84055","84055","1","1","1","0.903","0.903","0.903","84055","84055","84055","0.999","0.999","0.999","0.511","0.511","0.511","84055","84055","84055","1","1","1","0.9255","0.9255","0.9255","84055","84055","84055","0.997","0.997","0.997","0.295","0.295","0.295","84055","84055","84055","0.997","0.997","0.997","0.8255","0.8255","0.8255","84055","84055","84055","1","1","1","0.7985","0.7985","0.7985","84055","84055","84055","0.999","0.999","0.999","0.602","0.602","0.602","84055","84055","84055","0.998","0.998","0.998","0.824","0.824","0.824"
"87000","87057","87057","87057","0.999","0.999","0.999","0.393","0.393","0.393","87057","87057","87057","0.998","0.998","0.998","0.7785","0.7785","0.7785","87057","87057","87057","0.999","0.999","0.999","0.951","0.951","0.951","87057","87057","87057","0.999","0.999","0.999","0.6725","0.6725","0.6725","87057","87057","87057","0.999","0.999","0.999","0.7295","0.7295","0.7295","87057","87057","87057","0.998","0.998","0.998","0.464","0.464","0.464","87057","87057","87057","0.998","0.998","0.998","0.7595","0.7595","0.7595","87057","87057","87057","1","1","1","0.721","0.721","0.721","87057","87057","87057","0.998","0.998","0.998","0.947","0.947","0.947","87057","87057","87057","0.998","0.998","0.998","0.886","0.886","0.886","87057","87057","87057","0.998","0.998","0.998","0.917","0.917","0.917","87057","87057","87057","0.999","0.999","0.999","0.6165","0.6165","0.6165","87057","87057","87057","0.996","0.996","0.996","0.6065","0.6065","0.6065","87057","87057","87057","0.997","0.997","0.997","0.53","0.53","0.53","87057","87057","87057","1","1","1","0.9865","0.9865","0.9865","87057","87057","87057","0.996","0.996","0.996","0.4925","0.4925","0.4925","87057","87057","87057","0.986","0.986","0.986","0.7275","0.7275","0.7275","87057","87057","87057","0.999","0.999","0.999","0.9615","0.9615","0.9615","87057","87057","87057","0.999","0.999","0.999","0.9785","0.9785","0.9785","87057","87057","87057","0.999","0.999","0.999","0.8355","0.8355","0.8355"
"90000","90059","90059","90059","0.999","0.999","0.999","0.523","0.523","0.523","90059","90059","90059","0.998","0.998","0.998","0.473","0.473","0.473","90059","90059","90059","1","1","1","0.9905","0.9905","0.9905","90059","90059","90059","0.999","0.999","0.999","0.8635","0.8635","0.8635","90059","90059","90059","0.998","0.998","0.998","0.817","0.817","0.817","90059","90059","90059","1","1","1","0.7535","0.7535","0.7535","90059","90059","90059","0.998","0.998","0.998","0.834","0.834","0.834","90059","90059","90059","1","1","1","0.4685","0.4685","0.4685","90059","90059","90059","1","1","1","0.9325","0.9325","0.9325","90059","90059","90059","0.998","0.998","0.998","0.521","0.521","0.521","90059","90059","90059","0.998","0.998","0.998","0.8435","0.8435","0.8435","90059","90059","90059","0.999","0.999","0.999","0.614","0.614","0.614","90059","90059","90059","1","1","1","0.5905","0.5905","0.5905","90059","90059","90059","0.999","0.999","0.999","0.4715","0.4715","0.4715","90059","90059","90059","1","1","1","0.852","0.852","0.852","90059","90059","90059","1","1","1","0.547","0.547","0.547","90059","90059","90059","0.999","0.999","0.999","0.9255","0.9255","0.9255","90059","90059","90059","1","1","1","0.9895","0.9895","0.9895","90059","90059","90059","0.997","0.997","0.997","0.989","0.989","0.989","90059","90059","90059","0.997","0.997","0.997","0.752","0.752","0.752"
"93000","93061","93061","93061","0.999","0.999","0.999","0.514","0.514","0.514","93061","93061","93061","0.999","0.999","0.999","0.806","0.806","0.806","93061","93061","93061","1","1","1","0.999","0.999","0.999","93061","93061","93061","0.999","0.999","0.999","0.595","0.595","0.595","93061","93061","93061","0.998","0.998","0.998","0.793","0.793","0.793","93061","93061","93061","0.998","0.998","0.998","0.8515","0.8515","0.8515","93061","93061","93061","0.999","0.999","0.999","0.7745","0.7745","0.7745","93061","93061","93061","0.999","0.999","0.999","0.6085","0.6085","0.6085","93061","93061","93061","0.999","0.999","0.999","0.9085","0.9085","0.9085","93061","93061","93061","0.997","0.997","0.997","0.6475","0.6475","0.6475","93061","93061","93061","0.998","0.998","0.998","0.992","0.992","0.992","93061","93061","93061","1","1","1","0.766","0.766","0.766","93061","93061","93061","1","1","1","0.726","0.726","0.726","93061","93061","93061","0.999","0.999","0.999","0.592","0.592","0.592","93061","93061","93061","0.997","0.997","0.997","0.9955","0.9955","0.9955","93061","93061","93061","1","1","1","0.5595","0.5595","0.5595","93061","93061","93061","0.999","0.999","0.999","0.633","0.633","0.633","93061","93061","93061","0.998","0.998","0.998","0.9845","0.9845","0.9845","93061","93061","93061","0.998","0.998","0.998","0.9325","0.9325","0.9325","93061","93061","93061","1","1","1","0.7345","0.7345","0.7345"
"96000","96063","96063","96063","1","1","1","0.288","0.288","0.288","96063","96063","96063","1","1","1","0.601","0.601","0.601","96063","96063","96063","1","1","1","0.903","0.903","0.903","96063","96063","96063","1","1","1","0.731","0.731","0.731","96063","96063","96063","0.997","0.997","0.997","0.4275","0.4275","0.4275","96063","96063","96063","0.997","0.997","0.997","0.7445","0.7445","0.7445","96063","96063","96063","0.996","0.996","0.996","0.5785","0.5785","0.5785","96063","96063","96063","1","1","1","0.764","0.764","0.764","96063","96063","96063","0.998","0.998","0.998","0.824","0.824","0.824","96063","96063","96063","1","1","1","0.462","0.462","0.462","96063","96063","96063","0.997","0.997","0.997","0.9775","0.9775","0.9775","96063","96063","96063","0.996","0.996","0.996","0.828","0.828","0.828","96063","96063","96063","0.998","0.998","0.998","0.8575","0.8575","0.8575","96063","96063","96063","0.999","0.999","0.999","0.633","0.633","0.633","96063","96063","96063","0.999","0.999","0.999","0.9825","0.9825","0.9825","96063","96063","96063","0.998","0.998","0.998","0.2345","0.2345","0.2345","96063","96063","96063","0.998","0.998","0.998","0.6405","0.6405","0.6405","96063","96063","96063","0.999","0.999","0.999","0.8995","0.8995","0.8995","96063","96063","96063","0.996","0.996","0.996","0.8895","0.8895","0.8895","96063","96063","96063","0.995","0.995","0.995","0.802","0.802","0.802"
"99000","99065","99065","99065","0.999","0.999","0.999","0.825","0.825","0.825","99065","99065","99065","1","1","1","0.789","0.789","0.789","99065","99065","99065","0.999","0.999","0.999","0.9435","0.9435","0.9435","99065","99065","99065","0.999","0.999","0.999","0.9205","0.9205","0.9205","99065","99065","99065","0.995","0.995","0.995","0.8835","0.8835","0.8835","99065","99065","99065","0.996","0.996","0.996","0.7635","0.7635","0.7635","99065","99065","99065","0.999","0.999","0.999","0.6775","0.6775","0.6775","99065","99065","99065","1","1","1","0.589","0.589","0.589","99065","99065","99065","0.998","0.998","0.998","0.592","0.592","0.592","99065","99065","99065","1","1","1","0.703","0.703","0.703","99065","99065","99065","0.997","0.997","0.997","0.987","0.987","0.987","99065","99065","99065","0.994","0.994","0.994","0.897","0.897","0.897","99065","99065","99065","0.998","0.998","0.998","0.8135","0.8135","0.8135","99065","99065","99065","0.998","0.998","0.998","0.5865","0.5865","0.5865","99065","99065","99065","0.999","0.999","0.999","0.965","0.965","0.965","99065","99065","99065","1","1","1","0.204","0.204","0.204","99065","99065","99065","0.996","0.996","0.996","0.739","0.739","0.739","99065","99065","99065","1","1","1","0.97","0.97","0.97","99065","99065","99065","0.997","0.997","0.997","0.9365","0.9365","0.9365","99065","99065","99065","1","1","1","0.578","0.578","0.578"
"102000","102067","102067","102067","1","1","1","0.3065","0.3065","0.3065","102067","102067","102067","1","1","1","0.861","0.861","0.861","102067","102067","102067","0.997","0.997","0.997","0.88","0.88","0.88","102067","102067","102067","1","1","1","0.907","0.907","0.907","102067","102067","102067","1","1","1","0.844","0.844","0.844","102067","102067","102067","0.999","0.999","0.999","0.935","0.935","0.935","102067","102067","102067","0.998","0.998","0.998","0.697","0.697","0.697","102067","102067","102067","1","1","1","0.673","0.673","0.673","102067","102067","102067","0.999","0.999","0.999","0.6205","0.6205","0.6205","102067","102067","102067","0.999","0.999","0.999","0.5315","0.5315","0.5315","102067","102067","102067","0.999","0.999","0.999","0.983","0.983","0.983","102067","102067","102067","0.997","0.997","0.997","0.9725","0.9725","0.9725","102067","102067","102067","1","1","1","0.806","0.806","0.806","102067","102067","102067","1","1","1","0.724","0.724","0.724","102067","102067","102067","1","1","1","0.9435","0.9435","0.9435","102067","102067","102067","1","1","1","0.052","0.052","0.052","102067","102067","102067","0.998","0.998","0.998","0.687","0.687","0.687","102067","102067","102067","0.999","0.999","0.999","0.983","0.983","0.983","102067","102067","102067","1","1","1","0.998","0.998","0.998","102067","102067","102067","1","1","1","0.74","0.74","0.74"
"105000","105069","105069","105069","0.998","0.998","0.998","0.093","0.093","0.093","105069","105069","105069","0.999","0.999","0.999","0.4375","0.4375","0.4375","105069","105069","105069","0.999","0.999","0.999","0.994","0.994","0.994","105069","105069","105069","0.999","0.999","0.999","0.899","0.899","0.899","105069","105069","105069","0.999","0.999","0.999","0.581","0.581","0.581","105069","105069","105069","0.999","0.999","0.999","0.9025","0.9025","0.9025","105069","105069","105069","0.998","0.998","0.998","0.9015","0.9015","0.9015","105069","105069","105069","1","1","1","0.644","0.644","0.644","105069","105069","105069","0.997","0.997","0.997","0.462","0.462","0.462","105069","105069","105069","0.995","0.995","0.995","0.48","0.48","0.48","105069","105069","105069","0.999","0.999","0.999","0.944","0.944","0.944","105069","105069","105069","0.996","0.996","0.996","0.9935","0.9935","0.9935","105069","105069","105069","1","1","1","0.721","0.721","0.721","105069","105069","105069","0.998","0.998","0.998","0.78","0.78","0.78","105069","105069","105069","1","1","1","0.997","0.997","0.997","105069","105069","105069","0.996","0.996","0.996","0.166","0.166","0.166","105069","105069","105069","0.999","0.999","0.999","0.6975","0.6975","0.6975","105069","105069","105069","0.996","0.996","0.996","0.9365","0.9365","0.9365","105069","105069","105069","1","1","1","0.975","0.975","0.975","105069","105069","105069","1","1","1","0.844","0.844","0.844"
"108000","108071","108071","108071","1","1","1","0.064","0.064","0.064","108071","108071","108071","0.993","0.993","0.993","0.8925","0.8925","0.8925","108071","108071","108071","0.998","0.998","0.998","0.9815","0.9815","0.9815","108071","108071","108071","0.998","0.998","0.998","0.91","0.91","0.91","108071","108071","108071","1","1","1","0.586","0.586","0.586","108071","108071","108071","0.997","0.997","0.997","0.808","0.808","0.808","108071","108071","108071","1","1","1","0.8965","0.8965","0.8965","108071","108071","108071","1","1","1","0.4405","0.4405","0.4405","108071","108071","108071","0.997","0.997","0.997","0.7485","0.7485","0.7485","108071","108071","108071","0.998","0.998","0.998","0.4495","0.4495","0.4495","108071","108071","108071","1","1","1","0.9675","0.9675","0.9675","108071","108071","108071","0.998","0.998","0.998","0.8365","0.8365","0.8365","108071","108071","108071","1","1","1","0.755","0.755","0.755","108071","108071","108071","0.997","0.997","0.997","0.5255","0.5255","0.5255","108071","108071","108071","1","1","1","0.994","0.994","0.994","108071","108071","108071","0.999","0.999","0.999","0.3535","0.3535","0.3535","108071","108071","108071","0.998","0.998","0.998","0.8505","0.8505","0.8505","108071","108071","108071","0.997","0.997","0.997","0.916","0.916","0.916","108071","108071","108071","0.998","0.998","0.998","0.971","0.971","0.971","108071","108071","108071","0.998","0.998","0.998","0.9115","0.9115","0.9115"
"111000","111073","111073","111073","1","1","1","0.3305","0.3305","0.3305","111073","111073","111073","0.998","0.998","0.998","0.9055","0.9055","0.9055","111073","111073","111073","0.999","0.999","0.999","0.9935","0.9935","0.9935","111073","111073","111073","1","1","1","0.5695","0.5695","0.5695","111073","111073","111073","1","1","1","0.466","0.466","0.466","111073","111073","111073","0.996","0.996","0.996","0.9905","0.9905","0.9905","111073","111073","111073","0.998","0.998","0.998","0.9125","0.9125","0.9125","111073","111073","111073","0.996","0.996","0.996","0.4415","0.4415","0.4415","111073","111073","111073","0.999","0.999","0.999","0.5315","0.5315","0.5315","111073","111073","111073","0.999","0.999","0.999","0.505","0.505","0.505","111073","111073","111073","0.999","0.999","0.999","0.879","0.879","0.879","111073","111073","111073","0.998","0.998","0.998","0.998","0.998","0.998","111073","111073","111073","0.995","0.995","0.995","0.7015","0.7015","0.7015","111073","111073","111073","0.999","0.999","0.999","0.65","0.65","0.65","111073","111073","111073","1","1","1","0.966","0.966","0.966","111073","111073","111073","0.999","0.999","0.999","0.326","0.326","0.326","111073","111073","111073","0.995","0.995","0.995","0.9265","0.9265","0.9265","111073","111073","111073","1","1","1","0.6455","0.6455","0.6455","111073","111073","111073","0.998","0.998","0.998","0.991","0.991","0.991","111073","111073","111073","0.997","0.997","0.997","0.6925","0.6925","0.6925"
"114000","114075","114075","114075","0.997","0.997","0.997","0.244","0.244","0.244","114075","114075","114075","0.999","0.999","0.999","0.9625","0.9625","0.9625","114075","114075","114075","0.999","0.999","0.999","0.986","0.986","0.986","114075","114075","114075","1","1","1","0.867","0.867","0.867","114075","114075","114075","1","1","1","0.464","0.464","0.464","114075","114075","114075","1","1","1","0.885","0.885","0.885","114075","114075","114075","0.998","0.998","0.998","0.7405","0.7405","0.7405","114075","114075","114075","0.998","0.998","0.998","0.5205","0.5205","0.5205","114075","114075","114075","0.997","0.997","0.997","0.51","0.51","0.51","114075","114075","114075","0.998","0.998","0.998","0.6295","0.6295","0.6295","114075","114075","114075","1","1","1","0.7915","0.7915","0.7915","114075","114075","114075","0.999","0.999","0.999","0.991","0.991","0.991","114075","114075","114075","1","1","1","0.832","0.832","0.832","114075","114075","114075","0.998","0.998","0.998","0.649","0.649","0.649","114075","114075","114075","0.997","0.997","0.997","0.957","0.957","0.957","114075","114075","114075","0.996","0.996","0.996","0.314","0.314","0.314","114075","114075","114075","0.997","0.997","0.997","0.795","0.795","0.795","114075","114075","114075","0.999","0.999","0.999","0.892","0.892","0.892","114075","114075","114075","0.999","0.999","0.999","0.9045","0.9045","0.9045","114075","114075","114075","0.999","0.999","0.999","0.937","0.937","0.937"
"117000","117077","117077","117077","0.999","0.999","0.999","0.1835","0.1835","0.1835","117077","117077","117077","1","1","1","0.873","0.873","0.873","117077","117077","117077","1","1","1","0.95","0.95","0.95","117077","117077","117077","1","1","1","0.9195","0.9195","0.9195","117077","117077","117077","0.999","0.999","0.999","0.72","0.72","0.72","117077","117077","117077","0.993","0.993","0.993","0.866","0.866","0.866","117077","117077","117077","0.999","0.999","0.999","0.9055","0.9055","0.9055","117077","117077","117077","1","1","1","0.5745","0.5745","0.5745","117077","117077","117077","0.997","0.997","0.997","0.63","0.63","0.63","117077","117077","117077","0.997","0.997","0.997","0.196","0.196","0.196","117077","117077","117077","0.998","0.998","0.998","0.9865","0.9865","0.9865","117077","117077","117077","0.999","0.999","0.999","0.926","0.926","0.926","117077","117077","117077","1","1","1","0.6925","0.6925","0.6925","117077","117077","117077","1","1","1","0.8165","0.8165","0.8165","117077","117077","117077","1","1","1","0.9995","0.9995","0.9995","117077","117077","117077","1","1","1","0.428","0.428","0.428","117077","117077","117077","1","1","1","0.9125","0.9125","0.9125","117077","117077","117077","1","1","1","0.9535","0.9535","0.9535","117077","117077","117077","0.999","0.999","0.999","0.9915","0.9915","0.9915","117077","117077","117077","0.998","0.998","0.998","0.9775","0.9775","0.9775"
